Stock,Date,Party,Category,Txntype,Quantity,Value traded,Avgtradeprice
Housing Development Finance Corporation Ltd,6/1/2020,SANKET SUHAS KOLHATKAR,Insider - Designated Person,Sell,25,"44,061","1,762.44"
Housing Development Finance Corporation Ltd,6/8/2017,Shameer Attupurathu Siddique,Insider - Employee,Sell,23,"37,417","1,626.83"
Housing Development Finance Corporation Ltd,9/12/2017,Vepa Shravan,Insider - Employee,Sell,23,"41,262","1,794.00"
Gravita India Ltd,3/3/2021,RAJAT AGRAWAL,Insider - Promoter,Buy,1,110,110.00
Gravita India Ltd,8/13/2021,Vijendra Singh Tanwar,Insider - Other,Sell,1,187,187.00
Tata Consultancy Services Ltd,11/10/2020,Sonali Malik,Insider - Immediate Relative,Buy,55,1.46 L,"2,654.85"
HDFC Bank Ltd,2/1/2020,Abhilasha Sancheti,Insider - Designated Person,Buy,80,"97,748","1,221.85"
Newgen Software Technologies Ltd,2/22/2019,ATUL KUMAR PHARASI,Insider - Employee,Sell,1,299,299.00
HCL Technologies Ltd,9/13/2021,ANUP DUTTA,Insider - Designated Person,Sell,40,"48,432","1,210.80"
ITC Ltd,3/22/2019,V.V. SUBRAMANYAM,Insider - Employee,Sell,180,"53,982",299.90
ITC Ltd,11/8/2017,MANISH MODI,Insider - Employee,Sell,180,"47,781",265.45
Infibeam Avenues Ltd,8/2/2017,Parag J Raval,Insider - Other,Sell,8,"11,752","1,469.00"
Housing Development Finance Corporation Ltd,5/4/2018,HARSHIL NAYAN PARIKH,Insider - Employee,Sell,25,"47,750","1,910.00"
Housing Development Finance Corporation Ltd,8/27/2018,ASHISH KUMAR MAHESHWARI,Insider - Employee,Sell,25,"48,250","1,930.00"
Housing Development Finance Corporation Ltd,6/26/2018,NEHA TRIPATHI,Insider - Employee,Sell,25,"47,838","1,913.52"
Housing Development Finance Corporation Ltd,11/16/2018,ADITI DONGARE,Insider - Employee,Sell,25,"46,545","1,861.80"
Housing Development Finance Corporation Ltd,11/26/2018,BHAVIK DILIPBHAI DAXINI,Insider - Employee,Sell,25,"47,200","1,888.00"
Housing Development Finance Corporation Ltd,11/19/2018,SOOD PANKAJ,Insider - Employee,Sell,25,"47,550","1,902.00"
Housing Development Finance Corporation Ltd,11/29/2018,MANSI TARUSH GORADIA,Insider - Employee,Sell,25,"48,750","1,950.00"
Housing Development Finance Corporation Ltd,12/19/2018,MANSI TARUSH GORADIA,Insider - Employee,Sell,25,"49,375","1,975.00"
